song_id,num_id,genre_major,genre_sub,genre_detail,tempo_bpm,time_signature,western_key,moods,duration_meta_s,n_stems,instruments,instruments_meta,is_pansori,master_path,master_sr,master_ch,master_frames,master_dur_s,master_subtype,split
0001_정악_풍류음악,0001,정악,풍류음악,"영산회상, 도드리",100,60/8,Ab / Fm,의례적인(2) | 장엄한(2) | 절제된(3) | 진지한(3) | 차분한(2) | 품위 있는(4),255.6,7,"['대금', '소금', '아쟁', '장구', '좌고', '피리', '해금']","['대금', '소금', '아쟁', '장구', '좌고', '피리', '해금']",False,data/extracted/train/source/0001_정악_풍류음악/0001_정악_풍류음악_master.wav,48000,2,12268800,255.6,PCM_24,train
0002_정악_풍류음악,0002,정악,풍류음악,"영산회상, 도드리",100,60/8,Ab / Fm,기품 있는(3) | 비통한(2) | 웅대한(3) | 의례적인(2) | 조화로운(2),263.4,7,"['대금', '소금', '아쟁', '장구', '좌고', '피리', '해금']","['대금', '소금', '아쟁', '장구', '좌고', '피리', '해금']",False,data/extracted/train/source/0002_정악_풍류음악/0002_정악_풍류음악_master.wav,48000,2,12643200,263.4,PCM_24,train
0003_정악_풍류음악,0003,정악,풍류음악,"영산회상, 도드리",100,60/8,Ab / Fm,기품 있는(2) | 영웅적인(2) | 우아한(2) | 웅대한(2) | 의례적인(2) | 장엄한(2),213.0,7,"['대금', '소금', '아쟁', '장구', '좌고', '피리', '해금']","['대금', '소금', '아쟁', '장구', '좌고', '피리', '해금']",False,data/extracted/train/source/0003_정악_풍류음악/0003_정악_풍류음악_master.wav,48000,2,10224000,213.0,PCM_24,train
0004_정악_풍류음악,0004,정악,풍류음악,"영산회상, 도드리",100,60/8,Ab / Fm,명상적인(2) | 웅대한(2) | 절제된(2) | 품위 있는(3),192.6,7,"['대금', '소금', '아쟁', '장구', '좌고', '피리', '해금']","['대금', '소금', '아쟁', '장구', '좌고', '피리', '해금']",False,data/extracted/val/source/0004_정악_풍류음악/0004_정악_풍류음악_master.wav,48000,2,9244800,192.6,PCM_24,train
0005_정악_풍류음악,0005,정악,풍류음악,"영산회상, 도드리",100,60/8,Ab / Fm,기품 있는(2) | 사색적인(2) | 신비로운(2) | 엄숙한(2) | 우아한(2) | 우울감 있는(2) | 의례적인(3) | 절제된(3) | 품위 있는(3),217.228,10,"['가야금', '거문고', '단소', '대금', '소금', '아쟁', '양금', '장구', '피리', '해금']","['가야금', '거문고', '단소', '대금', '소금', '아쟁', '양금', '장구', '피리', '해금']",False,data/extracted/train/source/0005_정악_풍류음악/0005_정악_풍류음악_master.wav,48000,2,10426943,217.228,PCM_24,train
0006_정악_풍류음악,0006,정악,풍류음악,"영산회상, 도드리",100,60/8,Ab / Fm,부드러운(2) | 쓸쓸한(2) | 여유로운(2) | 유려한(2) | 의례적인(3) | 절제된(3) | 조화로운(2) | 차분한(3) | 편안한(2) | 평온한(2) | 평화로운(3) | 품위 있는(3),288.6,10,"['가야금', '거문고', '단소', '대금', '소금', '아쟁', '양금', '장구', '피리', '해금']","['가야금', '거문고', '단소', '대금', '소금', '아쟁', '양금', '장구', '피리', '해금']",False,data/extracted/train/source/0006_정악_풍류음악/0006_정악_풍류음악_master.wav,48000,2,13852800,288.6,PCM_24,val
0008_정악_풍류음악,0008,정악,풍류음악,"영산회상, 도드리",100,60/8,Ab / Fm,기품 있는(2) | 부드러운(2) | 사색적인(2) | 쓸쓸한(3) | 우아한(2) | 의례적인(3) | 절제된(2) | 진지한(2) | 차분한(3) | 편안한(2) | 품위 있는(3),217.8,10,"['가야금', '거문고', '단소', '대금', '소금', '아쟁', '양금', '장구', '피리', '해금']","['가야금', '거문고', '단소', '대금', '소금', '아쟁', '양금', '장구', '피리', '해금']",False,data/extracted/train/source/0008_정악_풍류음악/0008_정악_풍류음악_master.wav,48000,2,10454400,217.8,PCM_24,train
0009_정악_풍류음악,0009,정악,풍류음악,"영산회상, 도드리",100,60/8,Db / Bbm,기품 있는(2) | 명상적인(4) | 몽환적인(2) | 사색적인(2) | 시적인(2) | 신비로운(2) | 여유로운(2) | 잔잔한(3) | 절제된(3) | 차분한(2) | 평온한(2) | 품위 있는(2),109.5,8,"['가야금', '거문고', '단소', '대금', '양금', '장구', '피리', '해금']","['가야금', '거문고', '단소', '대금', '양금', '장구', '피리', '해금']",False,data/extracted/train/source/0009_정악_풍류음악/0009_정악_풍류음악_master.wav,48000,2,5256000,109.5,PCM_24,train
0010_정악_풍류음악,0010,정악,풍류음악,"영산회상, 도드리",100,60/8,Db / Bbm,기품 있는(2) | 단아한(4) | 명상적인(2) | 쓸쓸한(2) | 아정한(2) | 여유로운(2) | 절제된(3) | 편안한(2),146.4,8,"['가야금', '거문고', '단소', '대금', '양금', '장구', '피리', '해금']","['가야금', '거문고', '단소', '대금', '양금', '장구', '피리', '해금']",False,data/extracted/train/source/0010_정악_풍류음악/0010_정악_풍류음악_master.wav,48000,2,7027200,146.4,PCM_24,train
0011_정악_풍류음악,0011,정악,풍류음악,"영산회상, 도드리",100,60/8,Db / Bbm,사색적인(2) | 여유로운(2) | 우울감 있는(2) | 유려한(2) | 절제된(2) | 진지한(3) | 편안한(2),146.1,8,"['가야금', '거문고', '단소', '대금', '양금', '장구', '피리', '해금']","['가야금', '거문고', '단소', '대금', '양금', '장구', '피리', '해금']",False,data/extracted/train/source/0011_정악_풍류음악/0011_정악_풍류음악_master.wav,48000,2,7012800,146.1,PCM_24,train
